id_transferencia,cantidad,motivo,cuenta_receptora,banco_receptor,fecha_movimiento,id_cuenta
10433301160,470.59,Gasto,00003106645471387039,BABIEN,2024-04-02,468
6047738423,3563.27,Donacion,00002381740583151623,TRANSFER,2023-01-04,1129
9921731555,1419.28,Deposito,00002158267386682570,Santander,2022-03-02,352
7666317098,3210.37,Abono,00004448854582585028,SANTANDER,2024-01-05,788
5015766327,1424.29,Abono,00007200351718068429,AUTOFIN,2024-05-06,217
5303891590,3819.79,Gasto Escolar,00004947923675055101,ABC CAPITAL,2022-01-05,462
5612149436,1761.1,Prestamo,00001193642652592294,COMPARTAMOS,2022-10-04,372
10459126128,4285.63,Donacion,00002392857882283895,COMPARTAMOS,2024-10-03,885
2850052938,9196.56,Gasto Medico,00007016206476399127,BANREGIO,2024-10-02,909
9087602279,2434.28,Gasto Escolar,00001819587819184009,ACTINVER,2024-08-01,193
4275916200,4373.8,Pago,00009653464684062672,BANAMEX,2024-10-04,345
10443018976,6170.12,Gasto Medico,00003324780100333041,BANJERCITO,2023-01-02,611
9789657310,2311.07,Gasto Medico,00008182499207082123,Afirme,2022-06-05,616
9331438686,2761.99,Donacion,00007910344001072990,SCOTIABANK,2022-07-01,756
10418015334,3573.36,Gasto,00005928904952672846,STP,2024-04-06,311
3890472572,5918.78,Gasto,00007780848511195583,ACTINVER,2022-02-03,530
4125436567,845.7,Deposito,00003100885562788994,ALTERNATIVOS,2024-04-03,619
3025232753,640.51,Donacion,00004701953045752278,ASP INTEGRA OPC,2023-02-03,389
8012427251,2471.42,Donacion,00001259616579102855,COMPARTAMOS,2024-03-03,550
10699192976,8254.28,Gasto Medico,00001417369922623469,COMPARTAMOS,2022-08-01,733
3631487944,3428.78,Abono,00008289532012943743,BBVA MEXICO,2022-11-05,234
5323974894,398.68,Abono,00006455288924877537,ASP INTEGRA OPC,2024-06-01,788
8084383494,4243.12,Gasto Escolar,00008741356904979731,BBASE,2024-01-06,690
7942348364,2669.51,Deposito,000010351609580681756,INBURSA,2023-09-01,903
8128497723,3729.86,Gasto Escolar,00003605204565613846,INBURSA,2022-03-04,1032
10191712255,903.15,Gasto Medico,00008735997308664951,FONDEADORA,2024-05-05,730
2300758601,3751.21,Gasto Escolar,00007337570612464507,SANTANDER,2023-07-01,912
4496120678,1987.12,Deposito,00007262640497829781,KLAR,2022-11-05,279
1103019848,5890.75,Gasto Medico,00008350756777903971,ARCUS,2024-06-06,672
10423406638,4728.58,Gasto Medico,00005873451291959226,ACTINVER,2022-05-03,1049
5107339452,7499.03,Abono,00006710785460781014,ACTINVER,2024-03-01,966
8100291527,7241.8,Gasto Escolar,00005914962316452354,BBASE,2022-01-06,1032
1547126582,5185.69,Pago,00006654566801495924,LIBERTAD,2023-06-01,1107
10492801127,7750.87,Gasto,00005882727309592921,KLAR,2024-04-05,788
3789309326,2647.46,Gasto,00003259802805407161,HSBC,2023-06-04,234
5144164885,6652.27,Gasto,00005734265670914861,Invex,2022-05-05,767
3132142414,1661.31,Donacion,00005398621853630398,FONDEADORA,2024-11-04,885
2493076279,2761.2,Gasto Medico,000010670048353875252,AZTECA,2023-02-03,30
6294742454,7830.74,Gasto Medico,00007704752438460906,BANREGIO,2023-10-01,885
7963817337,2300.82,Deposito,00006569463376086133,AZTECA,2023-05-03,462
10066680684,2486.64,Prestamo,00006504856624656647,DONDE,2023-02-02,631
3000831050,2747.74,Gasto,000011046885118791568,ALTERNATIVOS,2022-01-01,986
8658751312,2777.68,Abono,00005095495367841353,DONDE,2023-05-05,661
4807762049,2494.13,Pago,00003340230926680862,TRANSFER,2023-01-06,589
4367513568,6105.35,Deposito,00001488968566827905,INBURSA,2022-11-02,926
5888832958,8610.51,Prestamo,00005676813743397088,BANREGIO,2022-05-05,468
5456650716,2025.22,Gasto Escolar,00005932695365360391,HSBC,2023-09-02,931
6782083639,4402.37,Gasto Escolar,000010573202948401340,KLAR,2023-11-03,1004
6540422177,8516.51,Donacion,00006038196772550219,CAJA POP MEXICA,2023-07-02,468
3899340433,548.1,Donacion,000010203967916846404,ASP INTEGRA OPC,2022-08-05,760
8082575001,197.51,Gasto Escolar,00006194318445453692,ARCUS,2024-07-04,162
9682961911,6501.59,Abono,00008033499386885010,TRANSFER,2022-08-01,631
6965368201,2444.11,Prestamo,00008824241629448792,BANCOPPEL,2023-11-04,1130
4629025751,4124.91,Gasto Escolar,00002305500426706239,SCOTIABANK,2024-09-04,234
5544829537,4755.06,Gasto,00008365119500882316,BANJERCITO,2022-08-05,631
3560788630,8558.85,Deposito,000011094098499022884,ALTERNATIVOS,2024-05-05,1143
7010310345,121.35,Pago,00001602023398828890,SCOTIABANK,2024-07-05,1029
10916626826,7193.7,Gasto Medico,00009003126911520549,ASP INTEGRA OPC,2023-04-05,805
4571856758,4611.03,Prestamo,00003976793851267328,Nafin,2022-02-03,674
2713418983,8118.33,Gasto Medico,00005302623721091239,TRANSFER,2023-03-06,627
1615926186,7927.37,Abono,000010003179889657248,ASP INTEGRA OPC,2022-07-04,659
7810674169,9908.27,Gasto Medico,00002070959712105648,BBASE,2024-07-04,148
6011976522,1219.51,Donacion,00003092035870653679,AZTECA,2023-09-01,434
6184532296,877.09,Prestamo,000010086439308259852,AZTECA,2023-01-01,957
6846989316,9352.24,Deposito,000010989729633747600,ASP INTEGRA OPC,2023-01-02,907
9994658915,2148.26,Gasto,00009087033515197156,INBURSA,2024-08-02,863
10798884276,4435.51,Prestamo,00009465697303071852,ACTINVER,2024-06-01,861
3713061249,4159.83,Prestamo,00003496051999753963,TRANSFER,2022-06-03,530
10410738245,1469.78,Gasto Medico,00002613778554277292,Nafin,2024-01-04,483
10786329523,4345.37,Deposito,00006496332677058058,LIBERTAD,2024-10-05,18
3808280927,9648.1,Donacion,000010760916178280652,SANTANDER,2022-01-02,885
1688820973,130.99,Prestamo,00002419703868921294,BBVA MEXICO,2022-02-03,389
4127683347,7565.93,Gasto,00004013409025302212,NU MEXICO,2023-07-03,946
5450487872,1153.09,Donacion,00007335077749727696,BAJIO,2024-10-01,1033
6497292211,8699.93,Prestamo,000010852934792372404,MERCADO PAGO W,2024-09-06,693
10907747515,7819.66,Prestamo,000010996582373237772,BANREGIO,2022-01-01,908
2949163055,503.74,Prestamo,00002634695554414045,Santander,2024-02-04,957
8285509517,3738.45,Deposito,00005000000820052876,BAJIO,2024-05-03,1099
5894611883,9300.33,Deposito,00005429157780209578,Mifel,2022-03-05,885
3196888265,8858.22,Gasto,00007092598412680746,STP,2022-05-05,530
7587082200,1881.01,Abono,00007978234534698753,BANAMEX,2022-08-02,148
7794826743,8308.62,Gasto,00009875560970021660,BANREGIO,2024-06-01,193
6750750686,8501.08,Prestamo,00006378630380838312,SANTANDER,2022-04-06,1033
8135856131,4830.29,Abono,00008509939811703628,NAFIN,2024-05-02,81
4885644608,1650.43,Donacion,00005268322162060194,MERCADO PAGO W,2022-07-02,960
4475378199,5199.78,Deposito,00006776623982602940,INVEX,2024-03-02,233
10029604773,7528.65,Gasto Escolar,00008700766823558894,ABC CAPITAL,2022-01-01,359
3307938848,9087.51,Prestamo,00001500486553250712,BANCOPPEL,2023-09-02,760
2537427045,7550.71,Deposito,00008010633706415695,ACTINVER,2023-03-01,610
3100595421,1770.73,Deposito,00005556283845131341,ACTINVER,2023-11-01,502
1427981311,2998.34,Prestamo,00008770813076365129,TRANSFER,2024-04-05,107
7096573916,9298.97,Prestamo,00006512211521267037,AZTECA,2023-07-01,274
7018660274,278.09,Donacion,00009237318675979442,BANCOPPEL,2022-08-01,907
3584597289,4783.37,Prestamo,00005827926245144943,COMPARTAMOS,2024-05-02,605
5387563751,9217.03,Donacion,00007103182582975102,ABC CAPITAL,2022-01-04,229
6686762022,4215.51,Gasto Medico,00003714071474761499,STP,2024-02-02,498
6228743949,8350.39,Prestamo,00008696715897388440,Santander,2023-09-06,472
2079652849,2497.69,Gasto Escolar,00004941947730011357,FONDEADORA,2024-01-01,550
9864173745,6864.88,Gasto Escolar,00009209340630245860,BANCOPPEL,2023-02-06,413
8671215715,869.81,Gasto Medico,00001728268091061517,Nafin,2022-06-06,732
8724974792,8850.48,Pago,00002615593409394953,Invex,2022-09-03,946
3085573714,4983.58,Abono,00006202008656397632,CAJA POP MEXICA,2022-04-01,1029
10496987365,3101.48,Gasto Medico,00005735537164086621,AUTOFIN,2022-03-05,1033
2834770024,9929.59,Prestamo,00001644888244046473,GBM,2025-01-03,162
3721242533,2151.02,Donacion,00002833336569363264,BBVA MEXICO,2025-01-05,1071
8567360734,3410.51,Prestamo,00006294178689632454,MONEXCB,2024-01-01,803
5025071589,5777,Deposito,00008719549972339284,HSBC,2022-05-04,950
10349234685,9389.69,Abono,00003773667228963213,STP,2022-11-04,505
5890482529,8599.82,Gasto Medico,00005299544627501786,BBVA MEXICO,2022-06-01,297
4585285819,6692.33,Deposito,000010076013764400426,MERCADO PAGO W,2023-08-05,627
6236092005,9414.73,Gasto Medico,00002844246888172547,MIFEL,2022-08-01,986
3342932648,8018.11,Gasto Medico,00009725178529674058,AFIRME,2022-11-04,706
5805992316,4193.5,Donacion,00005891236506484334,ASP INTEGRA OPC,2022-06-05,990
2849654128,9181.56,Prestamo,00002839020300119789,CONSUBANCO,2022-01-03,1089
7165987533,5520.6,Gasto Escolar,00009338620805139110,SPIN BY OXXO,2023-08-06,389
3672884317,4028.36,Gasto Escolar,00002464280721349660,BBASE,2023-05-01,636
8527747645,4792.84,Abono,00008224091155753836,ALTERNATIVOS,2023-08-04,1119
8204118928,1239.33,Gasto,00006833806682159990,KLAR,2025-01-04,1017
6138968861,201.74,Pago,00003488798089586461,BANREGIO,2023-10-05,983
10877154334,8309.94,Abono,00003527680071647742,NU MEXICO,2023-01-05,1031
8751538786,9517.75,Deposito,00008808663735924440,NU MEXICO,2025-01-04,489
8232264025,5254.99,Gasto Medico,00007338835072222589,NAFIN,2024-02-02,971
4262161679,7455.23,Abono,00004041107054529602,GBM,2022-09-01,1094
1898682887,8205.84,Deposito,00005126451902824502,GBM,2023-07-01,855
6148139264,6464.28,Pago,00006251034768778722,BANREGIO,2024-08-06,591
8560371501,5005.34,Donacion,00005798001999681470,Invex,2022-01-01,960
1876894257,9056.8,Gasto Escolar,00008381513611903505,FONDEADORA,2022-07-01,193
7429858353,4621.33,Gasto,00001288144855974646,ARCUS,2022-01-03,314
10496551221,6046.54,Donacion,00002842217570012217,002,2023-05-01,869
3958182450,2014.16,Donacion,000010068717455159804,SPIN BY OXXO,2022-06-04,1119
8652397738,4290.5,Gasto,00006849471903136166,NU MEXICO,2023-01-01,946
3682589228,1810.98,Gasto,00008956199721621857,LIBERTAD,2022-05-01,329
4229415882,5580.09,Prestamo,00004049422698469133,ABC CAPITAL,2025-01-04,1073
7911878270,4622.29,Prestamo,00003544149396584721,BANAMEX,2022-10-01,1116
8226008021,1770.67,Gasto Escolar,000010896263521382372,AZTECA,2023-01-01,819
9704766930,3521.19,Gasto,00008282363190409125,ABC CAPITAL,2024-09-06,628
1983052753,2974.02,Gasto Escolar,00003581251114033083,DONDE,2024-04-05,379
5856339393,3610.13,Deposito,00008408062975445606,BBVA MEXICO,2025-01-03,591
8903293666,6234.89,Pago,00009446127705611416,Invex,2022-11-04,983
8634415770,6476.87,Abono,00008558818880307479,SPIN BY OXXO,2022-01-04,401
4765140649,8642.32,Pago,00001714033578828057,Nafin,2022-08-02,756
7841440554,842.1,Pago,00001504482104134955,CAJA POP MEXICA,2024-10-01,389
4747099346,2793.33,Prestamo,00002168251559481659,002,2023-09-02,730
10664828851,2971.25,Abono,00001861421579047361,COMPARTAMOS,2025-01-02,454
9379825980,86.32,Prestamo,00004161010821523340,SPIN BY OXXO,2022-09-03,788
6607460948,1757.68,Deposito,000010639313516127536,CAJA POP MEXICA,2024-10-03,262
7198234070,3843.45,Gasto Escolar,00001151830861634299,HSBC,2025-01-06,591
2053031754,8290.18,Pago,00009955024924504596,ABC CAPITAL,2022-03-06,434
6513851706,9196.86,Donacion,00006870375051764885,BBASE,2023-02-04,668
6391913886,1612.9,Pago,00009926986711768908,INVEX,2022-06-01,1073
4944149821,5317.88,Deposito,00001940480396283902,Invex,2022-06-03,1119
7997787421,1369.7,Pago,00002745105149540931,AUTOFIN,2022-05-02,760
5179386870,614.35,Deposito,00007823848938702406,TRANSFER,2023-09-03,819
3311314383,2969.25,Gasto Medico,00001730018705503290,NU MEXICO,2023-10-06,760
10023165394,380.04,Pago,00006442576266440853,CAJA POP MEXICA,2023-01-01,743
2172521731,8796.61,Gasto Medico,00002297718890334647,TRANSFER,2022-02-06,957
8237987079,7163.93,Prestamo,00004231998655556687,ASP INTEGRA OPC,2022-01-01,290
10868264438,5628.03,Abono,000010385219493564096,BANJERCITO,2023-06-03,984
9034221879,6228.79,Donacion,00002374566583424950,Invex,2022-10-04,401
8088663507,1232.01,Prestamo,00003197285226622512,AUTOFIN,2023-02-03,926
3799121473,7255.98,Gasto,000010527429543358332,BAJIO,2022-07-06,524
4281237980,4249.72,Gasto Escolar,00008556017884687720,CAJA POP MEXICA,2022-10-04,960
6826581853,8513.91,Gasto Medico,00008130595975819807,ARCUS,2022-07-01,430
10993838341,4235.08,Abono,00004981020289720851,NU MEXICO,2023-05-01,21
9271042835,8191.75,Gasto Medico,00004150424127460860,AZTECA,2022-06-02,542
2909612440,821.1,Gasto Escolar,00007976279237269736,ARCUS,2023-05-01,668
4247759488,4353.08,Gasto Medico,00007397623933742618,MONEXCB,2024-09-01,1073
7323908133,2969.59,Prestamo,00009133381756874700,DONDE,2023-11-01,875
1213191526,1254.03,Abono,00009497305487512510,TRANSFER,2024-05-01,542
6252372676,6284.28,Gasto Medico,00003207565127190789,AUTOFIN,2024-08-02,359
3519496277,5611.38,Deposito,00005197463227778542,ACTINVER,2024-08-05,885
6863223800,7422.67,Abono,00009158119437055818,LIBERTAD,2023-02-01,389
7951726864,3701.8,Donacion,00002994806736818577,SPIN BY OXXO,2023-01-01,1033
5842490052,9693.5,Deposito,00005867971867925583,AUTOFIN,2023-02-04,946
8131119676,8548.99,Prestamo,00001680023004104411,BANAMEX,2022-02-01,805
1404645178,4803.73,Deposito,00009155273197998704,BANJERCITO,2025-01-05,472
6900500379,3489.4,Abono,00007453625807367967,BBVA MEXICO,2022-05-06,940
9577772479,2610.27,Abono,00008468585630194058,BBVA MEXICO,2023-03-05,788
3997608945,3641.73,Gasto,00008844013144813589,FONDEADORA,2023-01-06,663
3542134288,24.27,Gasto Medico,00002473123796187716,SANTANDER,2022-10-03,1149
10223054795,957.96,Prestamo,00003421590529163491,INVEX,2024-10-04,363
5585214177,5812.56,Gasto,00005726723466094380,LIBERTAD,2022-04-04,946
3526994163,1016.34,Prestamo,00009322106582078666,002,2023-04-05,578
8825864180,5028.17,Abono,00002050207432459296,CONSUBANCO,2024-01-01,655
1310566875,6496.39,Gasto,00009347727254151604,SCOTIABANK,2023-06-05,1107
9053845933,6527.51,Donacion,00007367669046836056,BANAMEX,2024-02-01,434
3806607050,5481.95,Abono,000010014108142568898,INBURSA,2022-10-06,893
6198585840,2392.39,Gasto Escolar,00007785621356950405,Mifel,2023-07-02,760
5458349460,4951.86,Abono,00004679702359763533,AFIRME,2022-09-05,867
8738837434,4092.43,Gasto Medico,00004218979747153259,AZTECA,2024-04-06,668
6228939164,7.34,Gasto Medico,00007937958005525962,Mifel,2022-11-01,794
6138241290,9936.41,Donacion,000010001334107566552,CONSUBANCO,2022-04-01,1009
7557933481,4277.89,Pago,00001959192557046773,TRANSFER,2022-03-06,849
4212787905,9302.25,Deposito,00002248524145406120,Afirme,2023-09-01,206
2999706528,8997.31,Gasto Escolar,00006963399955114608,ASP INTEGRA OPC,2022-10-05,627
3668336534,8849.72,Deposito,00001231355529387758,BBASE,2022-08-01,794
5081705381,6889.05,Prestamo,00006253775147406490,MIFEL,2024-06-03,1155
10652882758,9554.01,Gasto,000010481169999722608,SPIN BY OXXO,2023-06-03,721
10567124491,8136.75,Pago,00007710589789781045,CONSUBANCO,2024-01-03,819
2478157332,4576.93,Prestamo,00007644368459848422,ABC CAPITAL,2024-02-04,617
9714393130,2811.42,Prestamo,00008218394011264773,BANREGIO,2024-02-06,234
2901131356,188.36,Donacion,00006671509184527466,KLAR,2022-03-04,1119
5299482118,5363.4,Gasto Escolar,00001691132440525561,BABIEN,2024-09-04,631
1613963252,4371.14,Gasto Escolar,00002890310790783050,CAJA POP MEXICA,2024-02-06,782
2145535109,1335.31,Gasto Escolar,00007856348154067722,ACTINVER,2022-11-01,234
3387346149,2639.19,Gasto Escolar,00008530480656852574,INVEX,2023-07-03,208
6609993727,9934.08,Deposito,00009440493621086992,COMPARTAMOS,2024-09-03,1033
6092697585,6853.67,Abono,00008591531455839960,MIFEL,2022-01-06,960
10107861172,4478.03,Pago,00007038714132629939,BANAMEX,2024-09-05,957
9341904512,2071.58,Donacion,00009780682663558692,COMPARTAMOS,2024-11-05,931
5724483563,1011.38,Gasto Medico,00009767333291276912,BABIEN,2024-01-03,767
8591918986,8035.51,Abono,00002305673475955089,INBURSA,2022-05-04,908
6834344427,9610,Gasto Escolar,00003670670233718955,Santander,2023-01-05,966
5194249858,8498.3,Donacion,00001386362593091725,KLAR,2024-08-02,985
9378668316,3522.17,Deposito,00006189799605568653,AFIRME,2024-03-04,153
3671663471,6671.4,Deposito,00006484119341468255,ARCUS,2022-01-04,721
4650518025,7749.46,Gasto Escolar,00006736474923854489,Santander,2024-01-02,831
2865259490,6845.2,Gasto Escolar,00006804906536645798,FONDEADORA,2024-01-04,899
8868881782,9979.68,Gasto Medico,00004027788049903393,GBM,2022-06-05,191
1737886747,9349.33,Pago,00003991300759588182,NAFIN,2022-04-01,628
4067790987,3157.24,Donacion,00002488205657960044,Nafin,2023-11-05,1146
5637391080,2973.61,Pago,000010757170787498476,ALTERNATIVOS,2024-04-03,819
6247254024,7785.57,Deposito,00008718425588216658,ALTERNATIVOS,2023-05-04,616
9913023784,7644.69,Gasto,00007133684115795053,SANTANDER,2023-02-03,207
5687488152,2175.4,Gasto,00004710025115239164,BANJERCITO,2024-09-04,912
1167706678,4125.7,Gasto Escolar,00002813554376680324,ABC CAPITAL,2024-07-05,305
3562057767,6266.99,Pago,00007855998333478395,KLAR,2024-03-05,718
9350446074,1924.88,Abono,00009514698239631114,SANTANDER,2024-01-05,1011
1965587459,6762.25,Pago,000010587627032063696,MONEXCB,2024-02-01,610
6369790489,2542.3,Pago,00007928239546816444,TRANSFER,2024-04-01,855
10460564009,3815.45,Deposito,00006285102157088240,CAJA POP MEXICA,2022-03-01,160
2764578258,2851.44,Abono,00005441157191067666,Bancoppel,2022-06-04,767
10795637163,3641.01,Donacion,00001772744421370111,ACTINVER,2023-09-02,706
7473430634,6433.25,Gasto,00005641292750584587,SCOTIABANK,2023-07-01,919
9547986879,4582.14,Abono,00002061598592708106,DONDE,2024-02-03,1032
2717826268,8405.26,Gasto Medico,000010874080011565404,Afirme,2022-06-01,616
5878156473,2497.35,Gasto Medico,000010485549341039340,AZTECA,2024-03-05,501
7202708626,9138.03,Prestamo,00009769206971252228,AZTECA,2023-04-06,1146
9668486295,6901.17,Pago,000010731708102630092,FONDEADORA,2023-01-03,775
2021265201,7068.83,Donacion,00004549526958836846,LIBERTAD,2024-02-04,969
6353398680,4041.31,Gasto Medico,00001420066514727859,002,2023-11-01,389
3279859182,7886.9,Gasto Escolar,00009698504304557764,Mifel,2022-09-06,971
3785695834,1798.41,Pago,00008681293619526224,BBASE,2023-09-01,859
3737947811,3945.58,Donacion,00006143710256297449,ASP INTEGRA OPC,2023-09-06,274
6207169480,6684.2,Pago,00006297114180378127,AUTOFIN,2023-01-01,960
4912610035,3564.35,Donacion,00007970656137938274,NAFIN,2024-06-06,699
2738839574,8798.98,Abono,00003428776676487234,AZTECA,2024-07-02,1033
8857466258,1881.76,Gasto Medico,00006646496045804461,Nafin,2023-10-03,960
8592864642,2297.09,Gasto,00002290769503602334,BBVA MEXICO,2024-06-03,931
6250982644,7285.93,Gasto Escolar,00006927812484445974,ALTERNATIVOS,2022-03-04,468
4999928385,9846.22,Gasto Escolar,00009541369770556728,ABC CAPITAL,2024-06-05,233
6025997824,8893.94,Abono,00009500795582285624,INBURSA,2024-07-06,1126
4425741639,5536.42,Gasto Escolar,00009287376749133732,MONEXCB,2024-08-01,356
1293500616,6393.18,Abono,00005592933297819990,BAJIO,2025-01-01,1049
8566368466,4072.2,Pago,00009442354261417052,FONDEADORA,2024-01-06,849
2011735848,4408.69,Gasto,00005694534997805564,LIBERTAD,2022-10-02,401
3623979157,9035.84,Gasto Medico,000010262518370134424,DONDE,2023-05-03,206
5620127919,607.81,Gasto Medico,00002312423514500269,002,2024-01-04,627
3464444304,4234.88,Gasto,00009755443803455824,Santander,2023-10-02,815
7806990262,3436.13,Donacion,00004374371270209791,SPIN BY OXXO,2022-09-06,616
7237315985,8153.22,Donacion,000011054541836752956,KLAR,2022-06-01,235
9410227172,3451.96,Gasto Escolar,00001685115108678225,MERCADO PAGO W,2024-06-02,18
7910841091,7590.98,Donacion,00003380385454422707,BABIEN,2022-02-01,18
9830486216,8960.28,Donacion,00003330660814431362,DONDE,2023-02-01,372
1765252205,8342.76,Prestamo,00002379793544521683,002,2022-08-05,235
9922060089,6172.92,Gasto Medico,00007801295930060907,Invex,2024-02-04,389
8322194322,2393.73,Gasto,00003385035316182940,MONEXCB,2024-07-01,234
1221763171,5518.76,Gasto,00005703479304385736,HSBC,2022-11-06,706
3704884104,6327.13,Abono,00001569277788140638,INVEX,2022-02-01,311
9381795944,795.44,Prestamo,00009717060042364884,Invex,2024-06-02,864
5598591797,269.46,Prestamo,00006898944665028041,TRANSFER,2024-06-01,1155
2102448181,7985.24,Gasto,00007559726458068474,Afirme,2022-03-02,30
8719399897,6663.69,Donacion,000010548897047688788,002,2023-10-05,290
6523308404,9231.34,Pago,00006768141558180589,AFIRME,2023-09-03,381
3509838495,1066.94,Pago,00003104388711293839,INBURSA,2024-11-05,591
6548734404,9283.55,Pago,00003443402855099059,Afirme,2023-05-02,468
8886493221,8020.66,Gasto,00001126065274020606,INVEX,2024-11-04,740
1855963158,7048.09,Abono,00007718805276904554,AUTOFIN,2024-09-03,234
7350699797,8854.69,Gasto,00001587481706961581,KLAR,2022-03-04,643
2270769225,2583.6,Pago,00008624732557307992,Invex,2022-11-04,573
2221083981,454.14,Gasto Escolar,00001570524315076022,INVEX,2023-11-05,907
